llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3462301587301588,0.25,0.16666666666666666,0.3333333333333333,0.5,12,2,2,6,7,7,8,8,8,8,4.154761904761905,4,6
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.408078231292517,0.17647058823529413,0.10714285714285714,0.39285714285714285,0.4642857142857143,28,3,8,14,16,17,17,17,17,17,11.426190476190477,11,13
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.47526881720430103,0.34782608695652173,0.25806451612903225,0.25806451612903225,0.4838709677419355,31,8,10,18,22,23,23,23,23,23,14.733333333333333,8,15
llama,0.41935483870967744,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.5792766373411534,0.5714285714285714,0.5161290322580645,0.0967741935483871,0.3870967741935484,31,16,13,21,24,27,28,28,28,28,17.957575757575757,3,12
phi4,0.28,0.56,0.64,0.64,0.72,0.72,0.72,0.72,0.4378268398268398,0.2777777777777778,0.2,0.28,0.48,25,5,7,14,16,16,18,18,18,18,10.945670995670994,7,12
