llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.19090909090909092,0.14285714285714285,0.08333333333333333,0.4166666666666667,0.5,12,1,1,2,5,6,7,7,7,7,2.290909090909091,5,6
mixtral_8x7,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.408078231292517,0.3125,0.17857142857142858,0.42857142857142855,0.35714285714285715,28,5,10,12,14,16,16,16,16,16,11.426190476190477,12,10
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.45776263584612725,0.5238095238095238,0.3548387096774194,0.3225806451612903,0.3225806451612903,31,11,12,15,17,18,21,21,21,21,14.190641711229945,10,10
llama,0.45161290322580644,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.5374103758354233,0.5,0.41935483870967744,0.16129032258064516,0.41935483870967744,31,13,14,18,20,21,26,26,26,26,16.65972165089812,5,13
phi4,0.36,0.44,0.52,0.64,0.68,0.68,0.68,0.68,0.42512842712842713,0.29411764705882354,0.2,0.32,0.4,25,5,9,11,13,16,17,17,17,17,10.628210678210678,8,10
