llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.021296296296296296,0.0,0.0,0.8333333333333334,0.16666666666666666,12,0,0,0,1,1,2,2,2,2,0.25555555555555554,10,2
mixtral_8x7,0.0,0.0,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.026984126984126982,0.75,0.10714285714285714,0.8571428571428571,0.03571428571428571,28,3,0,0,3,3,4,4,4,4,0.7555555555555555,24,1
mixtral_8x22,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.048566308243727596,0.75,0.0967741935483871,0.8709677419354839,0.03225806451612903,31,3,1,1,3,3,4,4,4,4,1.5055555555555555,27,1
llama,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.056630824372759854,0.8,0.12903225806451613,0.8387096774193549,0.03225806451612903,31,4,1,1,4,4,5,5,5,5,1.7555555555555555,26,1
phi4,0.0,0.0,0.12,0.12,0.16,0.16,0.16,0.16,0.03022222222222222,0.75,0.12,0.84,0.04,25,3,0,0,3,3,4,4,4,4,0.7555555555555555,21,1
