llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.34027777777777773,0.2857142857142857,0.16666666666666666,0.4166666666666667,0.4166666666666667,12,2,2,6,7,7,7,7,7,7,4.083333333333333,5,5
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.408078231292517,0.23529411764705882,0.14285714285714285,0.39285714285714285,0.4642857142857143,28,4,8,14,16,17,17,17,17,17,11.426190476190477,11,13
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.47526881720430103,0.391304347826087,0.2903225806451613,0.25806451612903225,0.45161290322580644,31,9,10,18,22,23,23,23,23,23,14.733333333333333,8,14
llama,0.41935483870967744,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.5763440860215054,0.5925925925925926,0.5161290322580645,0.12903225806451613,0.3548387096774194,31,16,13,21,24,27,27,27,27,27,17.866666666666667,4,11
phi4,0.28,0.56,0.64,0.64,0.64,0.64,0.64,0.64,0.43133333333333324,0.375,0.24,0.36,0.36,25,6,7,14,16,16,16,16,16,16,10.783333333333331,9,9
