llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.28621031746031744,0.42857142857142855,0.25,0.4166666666666667,0.3333333333333333,12,3,2,4,4,7,7,7,7,7,3.4345238095238093,5,4
mixtral_8x7,0.21428571428571427,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.34905045351473923,0.2222222222222222,0.14285714285714285,0.35714285714285715,0.5,28,4,6,13,15,17,18,18,18,18,9.773412698412699,10,14
mixtral_8x22,0.22580645161290322,0.45161290322580644,0.5483870967741935,0.7419354838709677,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.38887608806963647,0.3333333333333333,0.25806451612903225,0.22580645161290322,0.5161290322580645,31,8,7,14,17,23,24,24,24,24,12.05515873015873,7,16
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.5313492063492062,0.5517241379310345,0.5161290322580645,0.06451612903225806,0.41935483870967744,31,16,11,19,23,29,29,29,29,29,16.471825396825395,2,13
phi4,0.2,0.48,0.56,0.68,0.68,0.68,0.68,0.68,0.35538095238095235,0.23529411764705882,0.16,0.32,0.48,25,4,5,12,14,17,17,17,17,17,8.88452380952381,8,12
