llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.1925757575757576,0.25,0.16666666666666666,0.3333333333333333,0.5,12,2,1,2,5,6,7,7,7,8,2.310909090909091,4,6
mixtral_8x7,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.4108949829931973,0.2777777777777778,0.17857142857142858,0.35714285714285715,0.4642857142857143,28,5,10,12,14,16,16,17,18,18,11.505059523809525,10,13
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.6774193548387096,0.6774193548387096,0.7096774193548387,0.7419354838709677,0.459520887909143,0.43478260869565216,0.3225806451612903,0.25806451612903225,0.41935483870967744,31,10,12,15,17,18,21,21,22,23,14.245147525183434,8,13
llama,0.45161290322580644,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.9354838709677419,0.5395559122195194,0.4827586206896552,0.45161290322580644,0.06451612903225806,0.4838709677419355,31,14,14,18,20,21,26,26,26,29,16.7262332788051,2,15
phi4,0.36,0.44,0.52,0.64,0.68,0.68,0.68,0.76,0.42672842712842707,0.3157894736842105,0.24,0.24,0.52,25,6,9,11,13,16,17,17,17,19,10.668210678210677,6,13
