llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.020833333333333332,1.0,0.08333333333333333,0.9166666666666666,0.0,12,1,0,0,1,1,1,1,1,1,0.25,11,0
mixtral_8x7,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0625,0.6666666666666666,0.07142857142857142,0.8928571428571429,0.03571428571428571,28,2,1,2,3,3,3,3,3,3,1.75,25,1
mixtral_8x22,0.0,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.03494623655913978,1.0,0.0967741935483871,0.9032258064516129,0.0,31,3,0,2,3,3,3,3,3,3,1.0833333333333333,28,0
llama,0.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.024193548387096774,1.0,0.06451612903225806,0.9354838709677419,0.0,31,2,0,1,2,2,2,2,2,2,0.75,29,0
phi4,0.0,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.04333333333333333,1.0,0.12,0.88,0.0,25,3,0,2,3,3,3,3,3,3,1.0833333333333333,22,0
