llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.28621031746031744,0.2857142857142857,0.16666666666666666,0.4166666666666667,0.4166666666666667,12,2,2,4,4,7,7,7,7,7,3.4345238095238093,5,5
mixtral_8x7,0.21428571428571427,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.34706632653061226,0.23529411764705882,0.14285714285714285,0.39285714285714285,0.4642857142857143,28,4,6,13,15,17,17,17,17,17,9.717857142857143,11,13
mixtral_8x22,0.22580645161290322,0.45161290322580644,0.5483870967741935,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.3870839733742959,0.391304347826087,0.2903225806451613,0.25806451612903225,0.45161290322580644,31,9,7,14,17,23,23,23,23,23,11.999603174603173,8,14
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.5313492063492062,0.4827586206896552,0.45161290322580644,0.06451612903225806,0.4838709677419355,31,14,11,19,23,29,29,29,29,29,16.471825396825395,2,15
phi4,0.2,0.48,0.56,0.68,0.68,0.68,0.68,0.68,0.35538095238095235,0.35294117647058826,0.24,0.32,0.4,25,6,5,12,14,17,17,17,17,17,8.88452380952381,8,10
