llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5,0.5,0.5,0.5,0.5,0.18333333333333335,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,12,2,1,2,5,6,6,6,6,6,2.2,6,4
mixtral_8x7,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.408078231292517,0.375,0.21428571428571427,0.42857142857142855,0.32142857142857145,28,6,10,12,14,16,16,16,16,16,11.426190476190477,12,9
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.44999999999999996,0.5,0.2903225806451613,0.41935483870967744,0.2903225806451613,31,9,12,15,17,18,18,18,18,18,13.95,13,9
llama,0.45161290322580644,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.5252688172043011,0.7619047619047619,0.5161290322580645,0.3225806451612903,0.16129032258064516,31,16,14,18,20,21,21,21,21,21,16.283333333333335,10,5
phi4,0.36,0.44,0.52,0.64,0.64,0.64,0.64,0.64,0.42149206349206353,0.4375,0.28,0.36,0.32,25,7,9,11,13,16,16,16,16,16,10.537301587301588,9,8
