llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.25,0.023821548821548817,0.0,0.0,0.75,0.25,12,0,0,0,1,1,2,2,3,3,0.2858585858585858,9,3
mixtral_8x7,0.0,0.0,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.39285714285714285,0.03507538096823811,0.36363636363636365,0.14285714285714285,0.6071428571428571,0.25,28,4,0,0,3,3,4,8,10,11,0.9821106671106671,17,7
mixtral_8x22,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.12903225806451613,0.22580645161290322,0.3225806451612903,0.3548387096774194,0.055919100928588594,0.36363636363636365,0.12903225806451613,0.6451612903225806,0.22580645161290322,31,4,1,1,3,3,4,7,10,11,1.7334921287862464,20,7
llama,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.1935483870967742,0.22580645161290322,0.25806451612903225,0.05963180188986641,0.625,0.16129032258064516,0.7419354838709677,0.0967741935483871,31,5,1,1,4,4,5,6,7,8,1.8485858585858586,23,3
phi4,0.0,0.0,0.12,0.12,0.16,0.32,0.36,0.4,0.03835369075369075,0.4,0.16,0.6,0.24,25,4,0,0,3,3,4,8,9,10,0.9588422688422688,15,6
