llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2889880952380952,0.375,0.25,0.3333333333333333,0.4166666666666667,12,3,2,4,4,7,7,8,8,8,3.4678571428571425,4,5
mixtral_8x7,0.21428571428571427,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6428571428571429,0.6785714285714286,0.75,0.75,0.352765753494895,0.23809523809523808,0.17857142857142858,0.25,0.5714285714285714,28,5,6,13,15,17,18,19,21,21,9.877441097857059,7,16
mixtral_8x22,0.22580645161290322,0.45161290322580644,0.5483870967741935,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8387096774193549,0.8387096774193549,0.39138294645578725,0.3076923076923077,0.25806451612903225,0.16129032258064516,0.5806451612903226,31,8,7,14,17,23,24,25,26,26,12.132871340129405,5,18
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.967741935483871,0.5320355481474218,0.5,0.4838709677419355,0.03225806451612903,0.4838709677419355,31,15,11,19,23,29,29,29,29,30,16.493101992570075,1,15
phi4,0.2,0.48,0.56,0.68,0.68,0.76,0.84,0.88,0.36172648552184733,0.22727272727272727,0.2,0.12,0.6,25,5,5,12,14,17,17,19,21,22,9.043162138046183,3,15
