llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.016666666666666666,0.0,0.0,0.9166666666666666,0.08333333333333333,12,0,0,0,1,1,1,1,1,1,0.2,11,1
mixtral_8x7,0.0,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.024999999999999998,1.0,0.10714285714285714,0.8928571428571429,0.0,28,3,0,0,3,3,3,3,3,3,0.7,25,0
mixtral_8x22,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0467741935483871,1.0,0.0967741935483871,0.9032258064516129,0.0,31,3,1,1,3,3,3,3,3,3,1.45,28,0
llama,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.054838709677419356,1.0,0.12903225806451613,0.8709677419354839,0.0,31,4,1,1,4,4,4,4,4,4,1.7,27,0
phi4,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.027999999999999997,1.0,0.12,0.88,0.0,25,3,0,0,3,3,3,3,3,3,0.7,22,0
