llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.16666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3462301587301588,0.25,0.16666666666666666,0.3333333333333333,0.5,12,2,2,6,7,7,8,8,8,8,4.154761904761905,4,6
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.40970160791589366,0.2222222222222222,0.14285714285714285,0.35714285714285715,0.5,28,4,8,14,16,17,17,18,18,18,11.471645021645022,10,14
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.4767350928641251,0.4583333333333333,0.3548387096774194,0.22580645161290322,0.41935483870967744,31,11,10,18,22,23,23,24,24,24,14.778787878787877,7,13
llama,0.41935483870967744,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.5792766373411534,0.5357142857142857,0.4838709677419355,0.0967741935483871,0.41935483870967744,31,15,13,21,24,27,28,28,28,28,17.957575757575757,3,13
phi4,0.28,0.56,0.64,0.64,0.72,0.76,0.76,0.76,0.4396450216450216,0.21052631578947367,0.16,0.24,0.56,25,4,7,14,16,16,18,19,19,19,10.991125541125541,6,14
