llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.029914529914529916,1.0,0.16666666666666666,0.8333333333333334,0.0,12,2,0,1,1,1,1,1,2,2,0.358974358974359,10,0
mixtral_8x7,0.0,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.03268086080586081,0.6666666666666666,0.14285714285714285,0.7857142857142857,0.07142857142857142,28,4,0,1,2,3,5,5,6,6,0.9150641025641025,22,2
mixtral_8x22,0.0,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.1935483870967742,0.031069065343258893,0.6666666666666666,0.12903225806451613,0.8064516129032258,0.06451612903225806,31,4,0,1,2,4,5,5,6,6,0.9631410256410257,25,2
llama,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.021453680727874274,0.8,0.12903225806451613,0.8387096774193549,0.03225806451612903,31,4,0,1,1,2,4,4,5,5,0.6650641025641025,26,1
phi4,0.0,0.04,0.04,0.12,0.2,0.2,0.24,0.24,0.0316025641025641,0.5,0.12,0.76,0.12,25,3,0,1,1,3,5,5,6,6,0.7900641025641025,19,3
