llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors
mistral,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.027777777777777776,1.0,0.08333333333333333,0.9166666666666666,0.0,12,1,0,1,1,1,1,1,1,1,0.3333333333333333,11,0
mixtral_8x7,0.0,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.03176510989010989,0.6,0.10714285714285714,0.8214285714285714,0.07142857142857142,28,3,0,1,2,3,5,5,5,5,0.8894230769230769,23,2
mixtral_8x22,0.0,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.030241935483870965,0.6,0.0967741935483871,0.8387096774193549,0.06451612903225806,31,3,0,1,2,4,5,5,5,5,0.9374999999999999,26,2
llama,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.02062655086848635,0.75,0.0967741935483871,0.8709677419354839,0.03225806451612903,31,3,0,1,1,2,4,4,4,4,0.6394230769230769,27,1
phi4,0.0,0.04,0.04,0.12,0.2,0.2,0.2,0.2,0.030576923076923074,0.6,0.12,0.8,0.08,25,3,0,1,1,3,5,5,5,5,0.7644230769230769,20,2
