llm,action_tp,action_fp,action_fn,ad_tp,ad_fp,ad_fn,rel_tp,rel_fp,rel_fn,tc_find_tp,tc_find_fp,tc_find_fn,tc_value_tp,tc_value_fp,tc_value_fn,cond_tp,cond_fp,cond_fn,param_find_tp,param_find_fp,param_find_fn,param_value_tp,param_value_fp,param_value_fn,TP,FP,FN,precision,recall,F1-Score
mistral,88,7,1,75,1,0,34,28,31,0,0,26,0,0,26,3,0,17,26,6,51,4,28,51,230,70,203,0.7666666666666667,0.5311778290993071,0.6275579809004093
mixtral_8x7,87,4,2,67,15,0,51,22,14,4,1,22,0,5,22,10,1,10,42,0,35,2,40,35,263,88,140,0.7492877492877493,0.652605459057072,0.6976127320954908
mixtral_8x22,82,1,7,69,8,0,49,12,16,21,5,5,3,23,5,13,6,7,54,0,23,4,50,23,295,105,86,0.7375,0.7742782152230971,0.7554417413572344
llama,85,0,4,74,8,0,51,12,14,23,4,3,18,9,3,18,0,2,61,0,16,12,49,16,342,82,58,0.8066037735849056,0.855,0.8300970873786407
phi4,85,1,4,70,11,0,49,14,16,1,0,25,0,1,25,20,3,0,42,0,35,0,42,35,267,72,140,0.7876106194690266,0.6560196560196561,0.7158176943699731
