llm,recall_at_1,recall_at_2,recall_at_3,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_actions,hits_k1,hits_k2,hits_k3,correct,retrieval_errors,selection_errors,none_selection
mistral,0.7954545454545454,0.8295454545454546,0.875,0.8276515151515151,0.974025974025974,0.8522727272727273,0.125,0.022727272727272728,88,70,73,77,75,11,2,0
mixtral_8x7,0.7701149425287356,0.8390804597701149,0.8620689655172413,0.8122605363984675,0.8933333333333333,0.7701149425287356,0.13793103448275862,0.09195402298850575,87,67,73,75,67,12,8,13
mixtral_8x22,0.7682926829268293,0.8414634146341463,0.8536585365853658,0.8089430894308942,0.9857142857142858,0.8414634146341463,0.14634146341463414,0.012195121951219513,82,63,69,70,69,12,1,1
llama,0.7764705882352941,0.8470588235294118,0.8823529411764706,0.8235294117647058,0.9866666666666667,0.8705882352941177,0.11764705882352941,0.011764705882352941,85,66,72,75,74,10,1,4
phi4,0.7764705882352941,0.8352941176470589,0.8705882352941177,0.8176470588235294,0.9459459459459459,0.8235294117647058,0.12941176470588237,0.047058823529411764,85,66,71,74,70,11,4,7
