llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,rr_sum,retrieval_errors,selection_errors
mistral,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5,0.18333333333333335,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,12,2,1,2,5,6,2.2,6,4
mixtral_8x7,0.39285714285714285,0.42857142857142855,0.5,0.5714285714285714,0.43188775510204086,0.3125,0.17857142857142858,0.42857142857142855,0.35714285714285715,28,5,11,12,14,16,12.092857142857143,12,10
mixtral_8x22,0.41935483870967744,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.4661290322580645,0.6111111111111112,0.3548387096774194,0.41935483870967744,0.22580645161290322,31,11,13,15,17,18,14.45,13,7
llama,0.5161290322580645,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.5575268817204302,0.8095238095238095,0.5483870967741935,0.3225806451612903,0.12903225806451613,31,17,16,18,20,21,17.283333333333335,10,4
phi4,0.36,0.44,0.52,0.6,0.4170476190476191,0.4666666666666667,0.28,0.4,0.32,25,7,9,11,13,15,10.426190476190477,10,8
